id,STRUCTURE PRESCRIPTRICE,PLATEFORME,year,month,region,ORIENTATION,NATURE_DIFF,age,tranche_age,situation,adulte_foyer,pers_a_charge,PROF,LOGEMENT,REVENUS,cat_rev,CHARGES,cat_charges,CREDITS,cat_credit,IMPAYES_DEBUT,cat_impayes,RAV_ouverture,cat_RAV_ouverture,RAV_UC,cat_RAV_UC,nb_credits,CRD,gain_mediation,nb_amort,crd_amort,nb_renouv,crd_renouv,nb_immo,crd_immo,nb_rac,crd_rac,nb_autres,crd_autres,nb_decouvert,crd_decouvert,moy_eco_jour,cat_moy_eco_jour
1550,PRESCRIPTEUR35,bancaire,2015,7,BOURGOGNE FRANCHE COMTE,Surendettement,Surendettement,\N,Non Renseigne,celibataire,1,0,retraité,proprietaire,1045,<1150€,500,500€-1000€,469,1€-499€,\N,Non Renseigne,76,C,76,C,3,11600,\N,3,11600,0,\N,0,\N,0,\N,0,\N,0,\N,"2,53333","0a2,99€"
2249,PRESCRIPTEUR16,bancaire,2016,2,OCCITANIE,Mediation,Endettement,\N,Non Renseigne,marie,2,0,retraité,gratuit,2366,2001€-2500€,665,500€-1000€,1900,1501€-2000€,\N,Non Renseigne,-199,C,"-132,667",C,9,44838,\N,6,30817,3,14021,0,\N,0,\N,0,\N,0,\N,"-3,31667",Négatif
2670,PRESCRIPTEUR18,social,2016,4,PROVENCE-ALPES-COTE-D'AZUR,Accompagnement,Endettement,\N,Non Renseigne,celibataire,1,0,employé,locataire,1350,1150€-1500€,956,500€-1000€,181,1€-499€,956,500€-1000€,213,B,213,B,2,5696,\N,0,\N,1,1700,0,\N,0,\N,1,3996,0,\N,"-24,7667",Négatif
1102,PRESCRIPTEUR6,bancaire,2014,11,BRETAGNE,Mediation,Multiendettement,\N,Non Renseigne,divorce,1,0,retraité,proprietaire,2023,2001€-2500€,568,500€-1000€,568,500€-1000€,\N,Non Renseigne,887,A,887,A,4,12750,\N,2,11000,2,1750,0,\N,0,\N,0,\N,0,\N,"29,5667",15€et+
7069,PRESCRIPTEUR23,social,2018,9,NOUVELLE AQUITAINE,Accompagnement,Difficultés de Gestion,24,<25ans,concubinage,2,0,employé,locataire,2100,2001€-2500€,1382,1001€-1500€,485,1€-499€,1382,1000€-1500€,233,B,"155,333",B,4,14337,\N,2,13137,2,1200,0,\N,0,\N,0,\N,0,\N,"-19,15",Négatif
7604,PRESCRIPTEUR37,social,2018,12,AUVERGNE RHONE ALPES,Accompagnement,Impayés,29,35-34ans,marie,2,1,employé,locataire,3264,3001€-3500€,1892,1501€-2000€,318,1€-499€,1892,1501€-2000€,1054,A,"585,556",A,2,7800,\N,1,7000,1,800,0,\N,0,\N,0,\N,0,\N,"-9,31111",Négatif
7234,PRESCRIPTEUR40,social,2018,10,OCCITANIE,Accompagnement,Endettement,62,55-64ans,marie,2,0,retraité,locataire,1930,1501€-2000€,1420,1001€-1500€,64,1€-499€,1420,1000€-1500€,446,A,"297,333",B,1,4608,\N,1,4608,0,\N,0,\N,0,\N,0,\N,0,\N,"-16,2333",Négatif
1198,PRESCRIPTEUR32,bancaire,2015,1,ILE-DE-FRANCE,Mediation,Surendettement,\N,Non Renseigne,concubinage,2,0,employé,locataire,2688,2501€-3000€,835,500€-1000€,1588,1501€-2000€,\N,Non Renseigne,265,B,"176,667",B,8,45920,\N,6,34308,2,11612,0,\N,0,\N,0,\N,0,\N,"4,41667","3a5,99€"
3102,PRESCRIPTEUR20,social,2016,7,HAUTS DE France,Accompagnement,Impayés,\N,Non Renseigne,celibataire,1,0,chomeur,gratuit,490,<1150€,304,<500€,250,1€-499€,\N,Non Renseigne,-64,C,-64,C,1,1600,\N,0,\N,0,\N,0,\N,0,\N,1,1600,0,\N,"-2,13333",Négatif
3854,PRESCRIPTEUR10,bancaire,2016,12,PAYS DE LA LOIRE,Surendettement,Cessation Paiement,\N,Non Renseigne,concubinage,2,0,employé,locataire,2445,2001€-2500€,1363,1001€-1500€,257,1€-499€,\N,Non Renseigne,825,A,550,A,2,16770,\N,1,11200,0,\N,0,\N,0,\N,1,5570,0,\N,"13,75","10a14,99€"
3464,PRESCRIPTEUR81,bancaire,2016,9,HAUTS DE France,Accompagnement,Endettement,77,75ans_et+,veuf,2,0,retraité,locataire,1088,<1150€,379,<500€,100,1€-499€,\N,Non Renseigne,609,A,406,A,1,1200,\N,0,\N,0,\N,0,\N,0,\N,1,1200,0,\N,"10,15","10a14,99€"
6897,PRESCRIPTEUR6,bancaire,2018,8,HAUTS DE France,Accompagnement,Accident de la vie,45,45-54ans,divorce,1,2,fonctionnaire,proprietaire,3510,3501€-4000€,1796,1501€-2000€,1302,1000€-1500€,\N,Non Renseigne,412,A,"257,5",B,4,138633,\N,2,19160,0,\N,2,119473,0,\N,0,\N,0,\N,"4,57778","3a5,99€"
1966,PRESCRIPTEUR5,bancaire,2015,11,NOUVELLE AQUITAINE,Surendettement,Surendettement,\N,Non Renseigne,divorce,1,0,retraité,proprietaire,1165,1150€-1500€,654,500€-1000€,946,500€-1000€,\N,Non Renseigne,-435,C,-435,C,4,35934,\N,3,35634,1,300,0,\N,0,\N,0,\N,0,\N,"-14,5",Négatif
1292,PRESCRIPTEUR16,bancaire,2015,3,BOURGOGNE FRANCHE COMTE,Mediation,Surendettement,\N,Non Renseigne,pacs,2,2,employé,proprietaire,2079,2001€-2500€,389,<500€,1304,1000€-1500€,\N,Non Renseigne,386,B,"183,81",B,5,96004,\N,3,3,1,1,1,96000,0,\N,0,\N,0,\N,"3,21667","3a5,99€"
2779,PRESCRIPTEUR29,bancaire,2016,5,NOUVELLE AQUITAINE,Surendettement,Endettement,\N,Non Renseigne,celibataire,1,0,employé,gratuit,1690,1501€-2000€,581,500€-1000€,1644,1501€-2000€,\N,Non Renseigne,-535,C,-535,C,11,42209,\N,4,23769,7,18440,0,\N,0,\N,0,\N,0,\N,"-17,8333",Négatif
7488,PRESCRIPTEUR110,bancaire,2018,11,PAYS DE LA LOIRE,Accompagnement,Difficultés de Gestion,50,45-54ans,concubinage,2,0,employé,proprietaire,4400,4001€-4500€,100,<500€,580,500€-1000€,\N,Non Renseigne,3720,A,2480,A,3,598,\N,2,597,0,\N,1,1,0,\N,0,\N,0,\N,62,15€et+
7048,PRESCRIPTEUR35,bancaire,2018,9,AUVERGNE RHONE ALPES,Accompagnement,\N,47,45-54ans,celibataire,1,0,employé,locataire,1304,1150€-1500€,446,<500€,359,1€-499€,\N,Non Renseigne,499,A,499,A,2,6318,\N,1,4318,1,2000,0,\N,0,\N,0,\N,0,\N,"16,6333",15€et+
7824,PRESCRIPTEUR72,bancaire,2019,1,NOUVELLE AQUITAINE,Surendettement,Difficultés de Gestion,78,75ans_et+,divorce,1,0,retraité,proprietaire,2126,2001€-2500€,832,500€-1000€,1735,1501€-2000€,\N,Non Renseigne,-441,C,-441,C,8,93267,\N,2,17488,4,23682,2,52097,0,\N,0,\N,0,\N,"-14,7",Négatif
724,PRESCRIPTEUR32,bancaire,2013,12,OCCITANIE,Surendettement,Surendettement,\N,Non Renseigne,marie,2,0,retraité,locataire,1837,1501€-2000€,1426,1001€-1500€,353,1€-499€,\N,Non Renseigne,58,C,"38,6667",C,10,46733,\N,2,26994,8,19739,0,\N,0,\N,0,\N,0,\N,"0,966667","0a2,99€"
3998,PRESCRIPTEUR20,social,2017,1,HAUTS DE France,Accompagnement,Endettement,37,40-44ans,concubinage,2,1,employé,locataire,3049,3001€-3500€,1311,1001€-1500€,867,500€-1000€,1311,1000€-1500€,871,A,"483,889",A,3,37350,\N,0,\N,2,5900,0,\N,1,31450,0,\N,0,\N,"-4,88889",Négatif
276,PRESCRIPTEUR2,bancaire,2012,12,NORMANDIE,Surendettement,Surendettement,\N,Non Renseigne,divorce,1,0,fonctionnaire,locataire,2732,2501€-3000€,0,<500€,1831,1501€-2000€,\N,Non Renseigne,901,A,901,A,10,83979,\N,8,63659,2,20320,0,\N,0,\N,0,\N,0,\N,"30,0333",15€et+
6658,PRESCRIPTEUR9,social,2018,6,GRAND EST,Accompagnement,Accident de la vie,54,45-54ans,concubinage,2,3,chomeur,locataire,1880,1501€-2000€,1180,1001€-1500€,114,1€-499€,\N,Non Renseigne,586,A,"244,167",B,1,5000,\N,1,5000,0,\N,0,\N,0,\N,0,\N,0,\N,"3,90667","3a5,99€"
7001,PRESCRIPTEUR73,social,2018,9,NOUVELLE AQUITAINE,Accompagnement,Difficultés de Gestion,43,40-44ans,concubinage,2,1,employé,locataire,3500,3001€-3500€,2232,2001€-2500€,253,1€-499€,2232,2001€-3000€,1015,A,"563,889",A,3,3262,\N,2,2782,1,480,0,\N,0,\N,0,\N,0,\N,"-13,5222",Négatif
1189,PRESCRIPTEUR35,bancaire,2015,1,NOUVELLE AQUITAINE,Accompagnement,Mal-endettement,\N,Non Renseigne,marie,2,0,fonctionnaire,locataire,3700,3501€-4000€,1503,1501€-2000€,1187,1000€-1500€,\N,Non Renseigne,1010,A,"673,333",A,4,31000,\N,4,31000,0,\N,0,\N,0,\N,0,\N,0,\N,"16,8333",15€et+
621,PRESCRIPTEUR17,bancaire,2013,10,NOUVELLE AQUITAINE,Accompagnement,Surendettement,\N,Non Renseigne,concubinage,2,2,chomeur,proprietaire,1828,1501€-2000€,0,<500€,1123,1000€-1500€,\N,Non Renseigne,705,A,"335,714",B,6,43842,\N,5,40165,1,3677,0,\N,0,\N,0,\N,0,\N,"5,875","3a5,99€"
1853,PRESCRIPTEUR41,bancaire,2015,10,AUVERGNE RHONE ALPES,Accompagnement,Multiendettement,\N,Non Renseigne,pacs,2,3,employé,gratuit,3713,3501€-4000€,0,<500€,753,500€-1000€,\N,Non Renseigne,2960,A,"1233,33",A,4,21701,\N,3,20501,1,1200,0,\N,0,\N,0,\N,0,\N,"19,7333",15€et+
6393,PRESCRIPTEUR84,bancaire,2018,4,PAYS DE LA LOIRE,Surendettement,Endettement,65,65-75ans,\N,\N,0,\N,\N,1501,1501€-2000€,1060,1001€-1500€,810,500€-1000€,\N,Non Renseigne,-369,C,\N,Non Renseigne,1,23000,\N,0,\N,0,\N,0,\N,0,\N,1,23000,0,\N,\N,\N
6552,PRESCRIPTEUR41,bancaire,2018,6,CENTRE,Accompagnement,Endettement,69,65-75ans,divorce,1,0,\N,locataire,1956,1501€-2000€,1067,1001€-1500€,441,1€-499€,\N,Non Renseigne,448,A,448,A,1,24000,\N,1,24000,0,\N,0,\N,0,\N,0,\N,0,\N,"14,9333","10a14,99€"
2593,PRESCRIPTEUR17,bancaire,2016,4,OCCITANIE,Aucune,Endettement,\N,Non Renseigne,celibataire,1,0,retraité,locataire,833,<1150€,610,500€-1000€,204,1€-499€,\N,Non Renseigne,19,C,19,C,3,9000,\N,1,6000,2,3000,0,\N,0,\N,0,\N,0,\N,"0,633333","0a2,99€"
3902,PRESCRIPTEUR18,social,2016,12,AUVERGNE RHONE ALPES,Accompagnement,Accident de la vie,26,35-34ans,concubinage,2,0,employé,locataire,1654,1501€-2000€,1215,1001€-1500€,1229,1000€-1500€,\N,Non Renseigne,-790,C,"-526,667",C,4,1102,\N,2,2,0,\N,0,\N,0,\N,0,\N,2,1100,"-13,1667",Négatif
1155,PRESCRIPTEUR29,bancaire,2014,12,GRAND EST,Mediation,Surendettement,\N,Non Renseigne,marie,2,3,autre,proprietaire,2594,2501€-3000€,640,500€-1000€,1623,1501€-2000€,\N,Non Renseigne,331,B,"137,917",B,9,117870,\N,4,21400,3,8470,2,88000,0,\N,0,\N,0,\N,"2,20667","0a2,99€"
2968,PRESCRIPTEUR30,bancaire,2016,6,HAUTS DE France,Surendettement,Endettement,38,40-44ans,marie,2,0,fonctionnaire,proprietaire,3250,3001€-3500€,1033,1001€-1500€,3033,3001€-3500€,\N,Non Renseigne,-816,C,-544,C,7,116000,\N,3,81000,4,35000,0,\N,0,\N,0,\N,0,\N,"-13,6",Négatif
5942,PRESCRIPTEUR44,bancaire,2018,2,GRAND EST,Microcredit,Microcrédit Personnel,28,35-34ans,marie,2,1,chomeur,locataire,1755,1501€-2000€,690,500€-1000€,87,1€-499€,\N,Non Renseigne,978,A,"543,333",A,1,2000,\N,1,2000,0,\N,0,\N,0,\N,0,\N,0,\N,"10,8667","10a14,99€"
